tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat
1995,SH131995,NONAME,1995-02-21 18:00,1995-03-02 00:00,OFCL,Mauritius,MUS,Black River,MUS.2_1,94560,215953.47999999998,"{0: 66, 1: 94494}"
1995,SH131995,NONAME,1995-02-21 18:00,1995-03-02 00:00,OFCL,Mauritius,MUS,Flacq,MUS.3_1,140810,1115807.25,"{1: 140746, 2: 64}"
1995,SH131995,NONAME,1995-02-21 18:00,1995-03-02 00:00,OFCL,Mauritius,MUS,Grand Port,MUS.4_1,113523,1051382.3800000001,"{1: 112238, 2: 1285}"
1995,SH131995,NONAME,1995-02-21 18:00,1995-03-02 00:00,OFCL,Mauritius,MUS,Moka,MUS.5_1,88800,460148.58,{1: 88800}
1995,SH131995,NONAME,1995-02-21 18:00,1995-03-02 00:00,OFCL,Mauritius,MUS,Pamplemousses,MUS.6_1,148742,509438.9,{1: 148742}
1995,SH131995,NONAME,1995-02-21 18:00,1995-03-02 00:00,OFCL,Mauritius,MUS,Plaines Wilhems,MUS.7_1,365517,666850.51,"{0: 1207, 1: 364310}"
1995,SH131995,NONAME,1995-02-21 18:00,1995-03-02 00:00,OFCL,Mauritius,MUS,Port Louis,MUS.8_1,111040,87404.47,{1: 111040}
1995,SH131995,NONAME,1995-02-21 18:00,1995-03-02 00:00,OFCL,Mauritius,MUS,Rivière du Rempart,MUS.9_1,113200,522934.65,{1: 113200}
1995,SH131995,NONAME,1995-02-21 18:00,1995-03-02 00:00,OFCL,Mauritius,MUS,Savanne,MUS.12_1,70087,468504.06,{1: 70087}
1995,SH131995,NONAME,1995-02-21 18:00,1995-03-02 00:00,OFCL,Reunion,REU,Saint-Denis,REU.2_1,225,40981.36,{0: 225}
1995,SH131995,NONAME,1995-02-21 18:00,1995-03-02 00:00,OFCL,Reunion,REU,Saint-Paul,REU.3_1,120,150812.28,{0: 120}
1995,SH131995,NONAME,1995-02-21 18:00,1995-03-02 00:00,OFCL,Reunion,REU,Saint-Pierre,REU.4_1,23,49392.01,{0: 23}
